Model,Task,Layer,Relative_Depth,Accuracy_Drop,PPL_Degradation,PPL_Ratio,PPL_Rank,M1_MSE_next,M1_MSE_start,M1_MSE_end,M1_MSE_mean,M2_Cosine_next,M2_Cosine_start,M2_Cosine_end,M2_Cosine_mean,M3_Residual_next,M3_Residual_start,M3_Residual_end,M3_Residual_mean,M4_CKA_next,M4_CKA_start,M4_CKA_end,M4_CKA_mean,M5_L1_next,M5_L1_start,M5_L1_end,M5_L1_mean,M6_L_Inf_next,M6_L_Inf_start,M6_L_Inf_end,M6_L_Inf_mean,M7_Var_Ratio_next,M7_Var_Ratio_start,M7_Var_Ratio_end,M7_Var_Ratio_mean,M8_Pearson_next,M8_Pearson_start,M8_Pearson_end,M8_Pearson_mean,M11_SVD_Ent,M12_KL_Noise,M13_LogitLens,M14_Spectral_Norm,M15_Frobenius_Norm,M16_Effective_Rank
phi-tiny,csqa,20,0.6451612903225806,0.017621145374449174,48.24387855404825,1.0450726045851413,0.45161290322580644,0.0412426376829715,12.413272380438327,12.532722316932524,3.812400721037764,0.0276825528570514,0.8731175213014855,0.6828814016122685,0.34422622713829365,0.2533840673146533,0.9974669710619346,1.493866543414454,0.8068633459498503,0.9999992806925138,0.1343188255897171,0.6092465692714626,0.8002367220257341,0.1393700273895146,0.4889279460438346,0.871373221729741,0.42626983480280867,9.909707959024365,591.380615234375,584.6285479371417,213.72319981077476,1.010864699697221,2.51631100007717e-05,0.0942995410449162,0.6810386059376481,0.9723172676455868,0.1268806783795161,0.3172165707766668,0.655778490256535,0.9740938544273376,0.0236829632194712,0.0,3.8583399214834535,24.554618196667366,469.963654572109
phi-tiny,csqa,21,0.6774193548387096,0.014684287812041117,101.29950489761792,1.0946406604478482,0.41935483870967744,0.0432583543912101,12.538984155772066,12.582908515555268,3.852426374418738,0.0236107771949236,0.8799608487095821,0.6719942853208647,0.34983947012652805,0.2094916889747569,0.9978961031716148,1.362731943259368,0.7656068544233039,0.9999283113799848,0.1345492968218283,0.6096236243001952,0.8003829354136894,0.1506698088847058,0.5219287104922957,0.867746308726624,0.4406821774406531,8.075543227886978,591.380615234375,584.6285479371417,214.5048120150695,1.0098809219597793,2.4877527312463414e-05,0.0932257797578189,0.673629941362214,0.9763888251966966,0.1200322818184953,0.328129937666347,0.6501641577970844,0.980454683303833,0.038046081084758,0.0,3.8976140876985945,25.0759712255226,470.8189062982235
phi-tiny,csqa,22,0.7096774193548387,0.019089574155653412,490.0682349822514,1.4578539793467664,0.12903225806451613,0.0590766782214122,12.65729758389947,12.647958728156064,3.9073004873575683,0.0363433287340924,0.883201997986492,0.6581363912540611,0.353881816240714,0.2668828329011907,0.9980140502681312,1.3182647922408084,0.7564528299725166,0.9999989219906876,0.1355717248686823,0.6130601091525478,0.8002925854991643,0.1908049843747727,0.5533971995432586,0.8672211408419848,0.4590448072370078,3.6520734157452903,591.380615234375,588.1285479371417,216.89167540528365,1.0086211212144145,2.462394113193349e-05,0.0922809198764164,0.6669945255406122,0.963655141364542,0.1167862293212068,0.342015338983817,0.6461209865366273,0.9740358591079712,0.0225959182716906,0.0,3.829143470188357,24.803373903598427,470.3353217142933
phi-tiny,csqa,23,0.7419354838709677,0.05139500734214391,212.377967321592,1.1984174662275142,0.25806451612903225,0.0919052425781104,12.75924320049114,12.65392609134646,3.951701202235996,0.0338188068091527,0.8868085634356927,0.6331026570705192,0.3626571134469616,0.3056703359986992,0.9982369690035132,1.2296798062265943,0.7427099851455102,0.9999984948484748,0.1358514625280119,0.6136126696428835,0.8004377585609777,0.1951825199656365,0.6140026890967929,0.866338089486793,0.49313889989891774,14.114448966011466,591.380615234375,588.1285479371417,217.38959000932692,1.0269080206178232,2.4401906081637643e-05,0.0914459156481141,0.661232776013754,0.9661801891381578,0.1131749414609261,0.3670805729040838,0.637345464580542,0.9788699150085448,0.0292273559607565,0.0,3.918930125686358,25.24695237177723,470.6610709136387
phi-tiny,csqa,24,0.7741935483870968,0.011747430249632852,38.38582564725221,1.03586256314642,0.5161290322580645,0.0888732594974113,13.082598633496708,12.8393404227998,4.117045588194134,0.0304913935751137,0.8942624363105479,0.6249936903772737,0.37104475891685157,0.2552901629440907,0.9986280734474594,1.1142975630865637,0.717394672170202,0.9999982971426504,0.1361856850124987,0.6140808385478776,0.8006300273066101,0.2275036257568878,0.6702658151330565,0.8690775400981076,0.5289195454366701,6.430557688370189,591.380615234375,588.6285479371417,222.33239404321398,1.0155843276649494,2.373204514072184e-05,0.08893099504719,0.6437762969309835,0.9695056422043784,0.1057129047817133,0.3752351197719965,0.6289597246841658,0.9754140973091124,0.0184987499378621,0.0,3.8098802094189623,25.305799898111594,472.39530548059713
phi-tiny,csqa,25,0.8064516129032258,0.019089574155653412,28.35488327711073,1.026490996999241,0.5483870967741935,0.0939881045075345,13.272937500115598,12.904176221139894,4.230866777883,0.0298209222587379,0.8962208509725884,0.6045120855416557,0.37996473527142743,0.2397932344948435,0.9987765339239028,1.051417292872967,0.7119587756583527,0.9999974329485256,0.1364475355180778,0.6144942799911062,0.800776223175293,0.2417442244672072,0.7259158049324904,0.8709290067159573,0.5669662206628978,3.152404535217036,591.380615234375,588.6285479371417,224.46161732529148,1.0065923839392572,2.334857864602756e-05,0.087487599579808,0.6338133239932056,0.9701764138871584,0.1037525549335718,0.3957321429281914,0.6200403514549664,0.9782858490943908,0.0222122366540133,0.0,3.829399342806834,25.301817763526486,473.49530101272296
phi-tiny,csqa,26,0.8387096774193549,0.017621145374449174,151.6216314101,1.141654900972468,0.3225806451612903,2.717348535074551,13.354532172306945,12.833066028029483,4.30408263020637,0.039132209609123,0.9004012874398536,0.5670075961110242,0.38860483882536107,0.3148254619622992,0.9988987974023156,0.9962492998655852,0.7131558288423456,0.8624783770458119,0.1367376602157938,0.6151212038415851,0.800696080558915,0.324523147259649,0.7909705680379313,0.8638970405229479,0.6156625435382499,357.8036445536446,589.380615234375,587.6285479371417,224.97736468030038,0.5036030303592276,2.3186912256279935e-05,0.0868800829861078,0.6296297859932174,0.9608705520727516,0.0995728839966823,0.4332381153965856,0.6114000239814529,0.9776384234428406,0.0190758942626416,0.01171875,3.905307839501579,25.29889766225275,471.3508711850868
phi-tiny,csqa,27,0.8709677419354839,0.0,-125.2888653533082,0.8829469011148399,0.9032258064516129,2.6232244122428643,6.867050482736661,6.221187719646582,4.687475439022242,0.0582949570414475,0.9085456760970908,0.5325747040526775,0.406662161447898,0.3472443038962299,0.9991059726520604,0.9323056184981906,0.7372814454161161,0.839913564612883,0.1471841605128468,0.6412780083026386,0.6637509795198119,0.377191911019037,0.8661739387832441,0.8490623515419644,0.6981207078260222,219.68120393120392,303.06492126114927,291.3430845618346,316.74906827659515,0.4687646447172133,4.734333319205902e-05,0.178011496144787,1.2719405619848918,0.941699643099923,0.0914115035184868,0.4677804310384292,0.593350854592648,0.9778466820716858,0.0172015534481033,0.03515625,4.108674222568296,25.131900922307427,471.5096094383384
phi-tiny,csqa,28,0.9032258064516129,0.019089574155653412,359.2152813019079,1.3356025431687142,0.16129032258064516,0.4015279864064012,2.962314583452679,2.24047488115734,6.931385344805854,0.0448669484167388,0.9159997844340908,0.4569598678484205,0.45347812752432765,0.3267774213834633,0.9991775773081204,0.8672006765317956,0.8601290134844246,0.9244957534530728,0.2644334273972685,0.8045133744762336,0.5982579006025208,0.3897125122490523,0.9409143238844782,0.8219063691581301,0.7900330096980546,47.07724201474201,126.76913744577318,112.7174639127764,412.46688943373977,1.197982569291492,0.0001001113963893,0.3744550460825974,2.79710910168299,0.9551280301970404,0.0839527686485787,0.5434499989758741,0.5465373693882236,0.9739614129066468,0.0243548324797302,0.05859375,4.562086352762186,25.39482545852661,471.5039207980318
phi-tiny,csqa,29,0.9354838709677419,0.008810572687224587,-89.34399304739907,0.91652896509613,0.8387096774193549,0.6775076144743317,3.553360818156837,2.447623871956372,7.069742357438425,0.0878948829000255,0.9182888701570318,0.3994475801297624,0.4815774142969457,0.445209527289057,0.9992552766245374,0.8165970395863007,0.8648368863558227,0.8851392540552887,0.264144031411795,0.818800369849662,0.636417163940236,0.3841305437583985,1.052008911833033,0.8180585110119187,0.8911513458238725,79.52679668304668,128.50919988758733,116.52741413288288,399.5425281108744,1.0280810810814716,8.386836417095547e-05,0.3141190182176601,2.333874544170717,0.9120968164331495,0.0816693212760705,0.600941451771351,0.5184335561148268,0.9693143963813782,0.0068794785765931,0.29296875,4.517594812051305,25.41203513235416,469.0374749111679
